a1 a1
a2 a2
a3 a3
a4 a4
a5 a5
ai1 ai1
ai2 ai2
ai3 ai3
ai4 ai4
ai5 ai5
an1 an1
an2 an2
an3 an3
an4 an4
an5 an5
ang1 ang1
ang2 ang2
ang3 ang3
ang4 ang4
ang5 ang5
ao1 ao1
ao2 ao2
ao3 ao3
ao4 ao4
ao5 ao5
xu5r' x u5 r'
xuan1r' x uan1 r'
xuan2r' x uan2 r'
xuan3r' x uan3 r'
xuan4r' x uan4 r'
xuan5r' x uan5 r'
xue1r' x ue1 r'
xue2r' x ue2 r'
xue3r' x ue3 r'
xue4r' x ue4 r'
xue5r' x ue5 r'
xun1r' x un1 r'
xun2r' x un2 r'
xun3r' x un3 r'
xun4r' x un4 r'
xun5r' x un5 r'
ya1r' ia1 r'
ya2r' ia2 r'
ya3r' ia3 r'
ya4r' ia4 r'
ya5r' ia5 r'
yai1r' y ai1 r'
yai2r' y ai2 r'
yai3r' y ai3 r'
yai4r' y ai4 r'
yai5r' y ai5 r'
yan1r' ian1 r'
yan2r' ian2 r'
yan3r' ian3 r'
yan4r' ian4 r'
yan5r' ian5 r'
yang1r' iang1 r'
yang2r' iang2 r'
yang3r' iang3 r'
yang4r' iang4 r'
yang5r' iang5 r'
yao1r' iao1 r'
yao2r' iao2 r'
yao3r' iao3 r'
yao4r' iao4 r'
yao5r' iao5 r'
ye1r' ie1 r'
ye2r' ie2 r'
ye3r' ie3 r'
ye4r' ie4 r'
ye5r' ie5 r'
yi1r' i1 r'
yi2r' i2 r'
yi3r' i3 r'
yi4r' i4 r'
yi5r' i5 r'
yin1r' in1 r'
yin2r' in2 r'
yin3r' in3 r'
yin4r' in4 r'
yin5r' in5 r'
ying1r' ing1 r'
ying2r' ing2 r'
ying3r' ing3 r'
ying4r' ing4 r'
ying5r' ing5 r'
yo1r' y o1 r'
yo2r' y o2 r'
yo3r' y o3 r'
yo4r' y o4 r'
yo5r' y o5 r'
yong1r' iong1 r'
yong2r' iong2 r'
yong3r' iong3 r'
yong4r' iong4 r'
yong5r' iong5 r'
you1r' iu1 r'
you2r' iu2 r'
you3r' iu3 r'
you4r' iu4 r'
you5r' iu5 r'
yu1r' v1 r'
yu2r' v2 r'
yu3r' v3 r'
yu4r' v4 r'
yu5r' v5 r'
yuan1r' van1 r'
yuan2r' van2 r'
yuan3r' van3 r'
yuan4r' van4 r'
yuan5r' van5 r'
yue1r' ve1 r'
yue2r' ve2 r'
yue3r' ve3 r'
yue4r' ve4 r'
yue5r' ve5 r'
yun1r' vn1 r'
yun2r' vn2 r'
yun3r' vn3 r'
yun4r' vn4 r'
yun5r' vn5 r'
za1r' z a1 r'
za2r' z a2 r'
za3r' z a3 r'
za4r' z a4 r'
za5r' z a5 r'
zai1r' z ai1 r'
zai2r' z ai2 r'
zai3r' z ai3 r'
zai4r' z ai4 r'
zai5r' z ai5 r'
zan1r' z an1 r'
zan2r' z an2 r'
zan3r' z an3 r'
zan4r' z an4 r'
zan5r' z an5 r'
zang1r' z ang1 r'
zang2r' z ang2 r'
zang3r' z ang3 r'
zang4r' z ang4 r'
zang5r' z ang5 r'
zao1r' z ao1 r'
zao2r' z ao2 r'
zao3r' z ao3 r'
zao4r' z ao4 r'
zao5r' z ao5 r'
ze1r' z e1 r'
ze2r' z e2 r'
ze3r' z e3 r'
ze4r' z e4 r'
ze5r' z e5 r'
zei1r' z ei1 r'
zei2r' z ei2 r'
zei3r' z ei3 r'
zei4r' z ei4 r'
zei5r' z ei5 r'
zen1r' z en1 r'
zen2r' z en2 r'
zen3r' z en3 r'
zen4r' z en4 r'
zen5r' z en5 r'
zeng1r' z eng1 r'
zeng2r' z eng2 r'
zeng3r' z eng3 r'
zeng4r' z eng4 r'
zeng5r' z eng5 r'
zha1r' zh a1 r'
zha2r' zh a2 r'
zha3r' zh a3 r'
zha4r' zh a4 r'
zha5r' zh a5 r'
zhai1r' zh ai1 r'
zhai2r' zh ai2 r'
zhai3r' zh ai3 r'
zhai4r' zh ai4 r'
zhai5r' zh ai5 r'
zhan1r' zh an1 r'
zhan2r' zh an2 r'
zhan3r' zh an3 r'
zhan4r' zh an4 r'
zhan5r' zh an5 r'
zhang1r' zh ang1 r'
zhang2r' zh ang2 r'
zhang3r' zh ang3 r'
zhang4r' zh ang4 r'
zhang5r' zh ang5 r'
zhao1r' zh ao1 r'
zhao2r' zh ao2 r'
zhao3r' zh ao3 r'
zhao4r' zh ao4 r'
zhao5r' zh ao5 r'
zhe1r' zh e1 r'
zhe2r' zh e2 r'
zhe3r' zh e3 r'
zhe4r' zh e4 r'
zhe5r' zh e5 r'
zhei1r' zh ei1 r'
zhei2r' zh ei2 r'
zhei3r' zh ei3 r'
zhei4r' zh ei4 r'
zhei5r' zh ei5 r'
zhen1r' zh en1 r'
zhen2r' zh en2 r'
zhen3r' zh en3 r'
zhen4r' zh en4 r'
zhen5r' zh en5 r'
zheng1r' zh eng1 r'
zheng2r' zh eng2 r'
zheng3r' zh eng3 r'
zheng4r' zh eng4 r'
zheng5r' zh eng5 r'
zhi1r' zh i1 r'
zhi2r' zh i2 r'
zhi3r' zh i3 r'
zhi4r' zh i4 r'
zhi5r' zh i5 r'
zhong1r' zh ong1 r'
zhong2r' zh ong2 r'
zhong3r' zh ong3 r'
zhong4r' zh ong4 r'
zhong5r' zh ong5 r'
zhou1r' zh ou1 r'
zhou2r' zh ou2 r'
zhou3r' zh ou3 r'
zhou4r' zh ou4 r'
zhou5r' zh ou5 r'
zhu1r' zh u1 r'
zhu2r' zh u2 r'
zhu3r' zh u3 r'
zhu4r' zh u4 r'
zhu5r' zh u5 r'
zhua1r' zh ua1 r'
zhua2r' zh ua2 r'
zhua3r' zh ua3 r'
zhua4r' zh ua4 r'
zhua5r' zh ua5 r'
zhuai1r' zh uai1 r'
zhuai2r' zh uai2 r'
zhuai3r' zh uai3 r'
zhuai4r' zh uai4 r'
zhuai5r' zh uai5 r'
zhuan1r' zh uan1 r'
zhuan2r' zh uan2 r'
zhuan3r' zh uan3 r'
zhuan4r' zh uan4 r'
zhuan5r' zh uan5 r'
zhuang1r' zh uang1 r'
zhuang2r' zh uang2 r'
zhuang3r' zh uang3 r'
zhuang4r' zh uang4 r'
zhuang5r' zh uang5 r'
zhui1r' zh ui1 r'
zhui2r' zh ui2 r'
zhui3r' zh ui3 r'
zhui4r' zh ui4 r'
zhui5r' zh ui5 r'
zhun1r' zh un1 r'
zhun2r' zh un2 r'
zhun3r' zh un3 r'
zhun4r' zh un4 r'
zhun5r' zh un5 r'
zhuo1r' zh uo1 r'
zhuo2r' zh uo2 r'
zhuo3r' zh uo3 r'
zhuo4r' zh uo4 r'
zhuo5r' zh uo5 r'
zi1r' z i1 r'
zi2r' z i2 r'
zi3r' z i3 r'
zi4r' z i4 r'
zi5r' z i5 r'
zong1r' z ong1 r'
zong2r' z ong2 r'
zong3r' z ong3 r'
zong4r' z ong4 r'
zong5r' z ong5 r'
zou1r' z ou1 r'
zou2r' z ou2 r'
zou3r' z ou3 r'
zou4r' z ou4 r'
zou5r' z ou5 r'
zu1r' z u1 r'
zu2r' z u2 r'
zu3r' z u3 r'
zu4r' z u4 r'
zu5r' z u5 r'
zuan1r' z uan1 r'
zuan2r' z uan2 r'
zuan3r' z uan3 r'
zuan4r' z uan4 r'
zuan5r' z uan5 r'
zui1r' z ui1 r'
zui2r' z ui2 r'
zui3r' z ui3 r'
zui4r' z ui4 r'
zui5r' z ui5 r'
zun1r' z un1 r'
zun2r' z un2 r'
zun3r' z un3 r'
zun4r' z un4 r'
zun5r' z un5 r'
zuo1r' z uo1 r'
zuo2r' z uo2 r'
zuo3r' z uo3 r'
zuo4r' z uo4 r'
zuo5r' z uo5 r'
